source_node_id,target_node_id,row_id,relationship
12,13,019a9539-f39e-7d23-972d-b74c67ba07d1,co_occurred
12,14,019a9539-f39e-7d23-972d-b74c67ba07d1,co_occurred
13,14,019a9539-f39e-7d23-972d-b74c67ba07d1,co_occurred
15,16,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,17,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,18,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,19,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,20,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
15,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,17,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,18,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,19,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,20,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
16,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
17,18,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
17,19,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
17,20,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
17,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
17,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
18,19,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
18,20,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
18,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
18,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
19,20,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
19,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
19,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
20,21,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
20,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
21,22,019a9539-fdc8-78f2-af9f-ab04ff83ff47,co_occurred
23,24,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
23,25,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
23,26,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
24,25,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
24,26,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
25,26,019a953a-05b6-75d2-9348-84ffc21133de,co_occurred
27,28,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
27,29,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
27,30,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
28,29,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
28,30,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
29,30,019a953a-0dff-70d3-a625-3897ff1ab3ed,co_occurred
31,32,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,33,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,34,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,35,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,36,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,38,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,39,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,40,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,41,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
31,42,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,33,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,34,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,35,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,36,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,38,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,39,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,40,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,41,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
32,42,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,34,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,35,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,36,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,38,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,39,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,40,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,41,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
33,42,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,35,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,36,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,38,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,39,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,40,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,41,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
34,42,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,36,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,38,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,39,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,40,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,41,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
35,42,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
36,37,019a953a-19e4-7270-a648-12b2fca50ea3,co_occurred
